gender,age,age_other,diff_age,race,race_other,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expected_happy_with_sd_people,expected_num_matches,like,guess_prob_liked,met,decision,decision_other,match
female,21,27,6,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,35,20,20,20,0,5,Medium,High,High,High,High,Medium,15,20,20,15,15,15,Medium,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,No,Yes,No,No
female,21,22,1,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,60,0,0,40,0,0,Medium,High,High,Medium,Medium,Medium,15,20,20,15,15,15,Medium,High,High,High,Medium,Medium,High,Medium,High,Medium,Medium,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,Yes,Yes,No,No
female,21,22,1,asian/pacific islander/asian-american,asian/pacific islander/asian-american,Yes,Low,Medium,law,19,18,19,18,14,12,High,High,High,High,High,High,15,20,20,15,15,15,Medium,High,High,High,Medium,Medium,High,High,High,Medium,Medium,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,Yes,Yes,Yes,Yes
female,21,23,2,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,30,5,15,40,5,5,Medium,High,High,High,High,High,15,20,20,15,15,15,Medium,High,High,High,Medium,Medium,Medium,High,Medium,Medium,High,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,No,Yes,Yes,Yes
female,21,24,3,asian/pacific islander/asian-american,latino/hispanic american,No,Low,Medium,law,30,10,20,10,10,20,High,Medium,High,Medium,High,Medium,15,20,20,15,15,15,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,No,Yes,Yes,Yes
female,21,25,4,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,50,0,30,10,0,10,Medium,Medium,High,High,Medium,Medium,15,20,20,15,15,15,Medium,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,No,No,Yes,No
female,21,30,9,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,35,15,25,10,5,10,Low,Medium,Medium,Medium,High,Medium,15,20,20,15,15,15,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,No,Yes,No,No
female,21,27,6,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,33.33,11.11,11.11,11.11,11.11,22.22,Medium,Medium,Medium,Medium,High,Medium,15,20,20,15,15,15,Medium,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,No,No,No,No
female,21,28,7,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,50,0,25,10,0,15,Medium,Medium,High,High,High,High,15,20,20,15,15,15,Medium,High,High,High,Medium,Medium,Medium,High,High,High,High,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,No,Yes,Yes,Yes
female,21,24,3,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,100,0,0,0,0,0,Medium,Medium,Medium,Medium,Medium,Medium,15,20,20,15,15,15,Medium,High,High,High,Medium,Medium,Medium,Medium,High,High,High,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,No,Yes,No,No
