gender,race,race_other,samerace,importance_same_race,importance_same_religion,field,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expected_happy_with_sd_people,expected_num_matches,like,guess_prob_liked,met,decision,decision_other,match
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,Medium,High,High,High,High,Medium,Medium,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,No,Yes,No,No
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,Medium,High,High,Medium,Medium,Medium,Medium,High,High,High,Medium,Medium,High,Medium,High,Medium,Medium,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,Yes,Yes,No,No
female,asian/pacific islander/asian-american,asian/pacific islander/asian-american,Yes,Low,Medium,law,High,High,High,High,High,High,Medium,High,High,High,Medium,Medium,High,High,High,Medium,Medium,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,Yes,Yes,Yes,Yes
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,Medium,High,High,High,High,High,Medium,High,High,High,Medium,Medium,Medium,High,Medium,Medium,High,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,No,Yes,Yes,Yes
female,asian/pacific islander/asian-american,latino/hispanic american,No,Low,Medium,law,High,Medium,High,Medium,High,Medium,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,No,Yes,Yes,Yes
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,Medium,Medium,High,High,Medium,Medium,Medium,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,No,No,Yes,No
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,Low,Medium,Medium,Medium,High,Medium,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,No,Yes,No,No
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,Medium,Medium,Medium,Medium,High,Medium,Medium,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,No,No,No,No
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,Medium,Medium,High,High,High,High,Medium,High,High,High,Medium,Medium,Medium,High,High,High,High,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,No,Yes,Yes,Yes
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,Medium,Medium,Medium,Medium,High,High,High,High,Low,High,High,Low,Low,Medium,Low,Medium,Medium,High,Low,High,High,High,High,Low,Low,Medium,Medium,Medium,No,Yes,No,No
